NAME,MPG
Gui Santos,3.7
Mouhamed Gueye,5.7
Reece Beekman,2.1
Liam Robbins,4.0
PJ Dozier,4.3
Jared Rhoden,2.9
Cam Spencer,10.5
Branden Carlson,4.2
Keshad Johnson,6.3
Jaden Springer,3.4
Caleb Houstan,4.7
Trey Alexander,5.2
D.J. Carton,8.4
JD Davison,4.3
Baylor Scheierman,6.8
Karlo Matkovic,7.7
Yuki Kawamura,2.9
Bronny James,2.6
Colin Castleton,2.3
Maxwell Lewis,4.5
Chris Livingston,2.0
Garrett Temple,3.9
Cui Yongxi,2.1
Tristen Newton,1.6
Sidy Cissoko,3.0
Dominick Barlow,5.4
Stanley Umude,2.9
Jalen Bridges,5.5
PJ Hall,2.0
Jacob Toppin,3.0
Malevy Leons,3.5
Daishen Nix,4.4
Joe Ingles,3.7
Jalen Pickett,1.9
Kessler Edwards,2.2
Mac McClung,4.9
Daniss Jenkins,2.5
Alex Ducas,1.8
Spencer Jones,1.9
Riley Minix,6.8
Harrison Ingram,6.8
Mason Jones,4.2
Cole Swider,6.6
Justin Minaya,6.1
