Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Jalen Bridges (36791473),Jalen Bridges,36791473,SF/F/UTIL,3000,LAL@PHX 11/26/2024 10:00PM ET,PHX,0.62
PF/C,Bol Bol (36791476),Bol Bol,36791476,PF/C/F/UTIL,3000,LAL@PHX 11/26/2024 10:00PM ET,PHX,5.69
SG,Damion Lee (36791480),Damion Lee,36791480,SG/G/UTIL,3000,LAL@PHX 11/26/2024 10:00PM ET,PHX,7.94
PG,Collin Gillespie (36791483),Collin Gillespie,36791483,PG/G/UTIL,3000,LAL@PHX 11/26/2024 10:00PM ET,PHX,3.5
PG/SG,Gabe Vincent (36791564),Gabe Vincent,36791564,PG/SG/G/UTIL,3000,LAL@PHX 11/26/2024 10:00PM ET,LAL,6.27
PF,Maxwell Lewis (36791568),Maxwell Lewis,36791568,PF/F/UTIL,3000,LAL@PHX 11/26/2024 10:00PM ET,LAL,0
PF,Armel Traore (36791571),Armel Traore,36791571,PF/F/UTIL,3000,LAL@PHX 11/26/2024 10:00PM ET,LAL,1.25
PG,Quincy Olivari (36791574),Quincy Olivari,36791574,PG/G/UTIL,3000,LAL@PHX 11/26/2024 10:00PM ET,LAL,0
PG,Jalen Hood-Schifino (36791577),Jalen Hood-Schifino,36791577,PG/G/UTIL,3000,LAL@PHX 11/26/2024 10:00PM ET,LAL,0
PG,Bronny James (36791580),Bronny James,36791580,PG/G/UTIL,3000,LAL@PHX 11/26/2024 10:00PM ET,LAL,1.71
